imdbID,Title,WatchedDate,Rating10
tt0072431,Young Frankenstein,2019-02-03,8
tt0072443,Zerkalo,2012-08-12,9
tt0072648,Angst vor der Angst,2013-09-09,8
tt0072684,Barry Lyndon,2012-08-04,9
tt7282468,Beoning,2019-06-13,7
tt0072890,Dog Day Afternoon,2012-04-07,9
tt0072958,Evridiki BA 2037,2014-11-26,8
tt0072962,F for Fake,2014-05-15,7
tt0072976,Faustrecht der Freiheit,2013-05-30,7
tt0072979,Female Trouble,2018-02-25,6
tt7298400,Jiang hu er nü,2019-03-18,6
tt0073028,Furtivos,2018-10-23,5
tt0073076,Grey Gardens,2014-11-02,6
tt0073152,Im Lauf der Zeit,2017-04-26,8
tt0073166,India Song,2014-11-02,5
tt0073195,Jaws,2014-08-30,8
tt0073198,"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",2014-07-16,9
tt0073424,Mutter Küsters' Fahrt zum Himmel,2018-10-16,8
tt0073440,Nashville,2014-11-30,8
tt0073453,Night Moves,2013-12-17,6
tt0073486,One Flew Over the Cuckoo's Nest,2012-10-20,9
tt0073502,Overlord,2015-08-01,7
tt0073540,Picnic at Hanging Rock,2013-11-27,8
tt0073580,Professione: reporter,2013-08-09,9
tt0073650,Salò o le 120 giornate di Sodoma,2018-05-13,6
tt0073715,Sisyphus,2014-07-14,5
tt0074102,Ai no korîda,2014-03-01,5
tt0074119,All the President's Men,2018-02-04,7
tt0074285,Carrie,2018-02-02,7
tt0074291,Il Casanova di Federico Fellini,2012-11-23,6
tt0074312,Chinesisches Roulette,2014-01-01,8
tt0074360,Cría cuervos,2014-08-04,9
tt0074486,Eraserhead,2012-05-14,8
tt7455754,The Game Changers,2019-11-03,7
tt0074626,Herz aus Glas,2018-10-11,6
tt0074811,Le locataire,2015-08-12,8
tt0074851,The Man Who Fell to Earth,2016-01-12,7
tt0074958,Network,2012-10-20,6
tt0000075,Escamotage d'une dame au théâtre Robert Houdin,2013-12-29,6
tt0075148,Rocky,2020-02-19,6
tt0075220,The Signalman,2018-10-10,8
tt0075276,Stroszek,2017-01-08,6
tt0075314,Taxi Driver,2011-01-08,10
tt0075386,Vertical Features Remake,2016-04-28,8
tt0075404,Voskhozhdenie,2013-07-22,7
tt0075612,3 Women,2013-05-28,9
tt0756206,Container,2015-02-18,5
tt0075675,Der amerikanische Freund,2013-03-19,9
tt0075686,Annie Hall,2012-10-23,8
tt0075704,Audrey Rose,2018-10-26,6
tt0075730,Barwy ochronne,2016-04-02,6
tt0075811,Carodejuv ucen,2015-08-30,6
tt0075824,Cet obscur objet du désir,2012-10-20,6
