imdbID,Title,WatchedDate,Rating10
tt0012364,Körkarlen,2013-06-02,7
tt0123755,Cube,2012-10-20,5
tt0123860,Genre,2014-10-25,6
tt1239446,De laatste dagen van Emma Blank,2015-01-24,6
tt0123948,Cure,2014-03-20,7
tt0124012,Morgiana,2018-10-12,8
tt0124148,A Study in Choreography for Camera,2014-04-21,4
tt1242460,We Need to Talk About Kevin,2012-10-20,7
tt0124294,Bice skoro propast sveta,2016-03-11,5
tt0124437,O drakos,2014-05-23,6
tt1245489,Gururi no koto,2014-12-21,6
tt1247184,El empleo,2014-10-25,6
tt1247657,Friendship!,2012-10-20,5
tt0012494,Der müde Tod,2013-12-07,6
tt0124969,322,2014-03-06,6
tt1250777,Kick-Ass,2012-10-20,4
tt0012543,The Paleface,2013-11-18,5
tt0125507,Sofies verden,2018-10-25,5
tt1255953,Incendies,2015-01-19,7
tt0126029,Shrek,2014-08-16,6
tt0126886,Election,2019-02-20,6
tt1270702,Un lac,2014-10-29,7
tt0127354,Wavelength,2014-05-22,6
tt1276104,Looper,2012-10-20,4
tt0127710,La vieille dame et les pigeons,2015-08-30,6
tt1282053,I Am So Proud of You,2014-08-18,6
tt0128364,Mujô,2014-08-14,9
tt0128445,Rushmore,2014-03-01,6
tt0128853,You've Got Mail,2020-05-20,5
tt0128916,Het afscheid,2014-07-26,7
tt0129387,There's Something About Mary,2014-01-27,5
tt0012945,The Blacksmith,2013-12-28,5
tt0129807,La bête lumineuse,2015-06-01,8
tt0129836,Comment naissent les méduses,2020-06-09,6
tt0013025,Cops,2013-06-09,6
tt0130519,Breakaway,2014-09-17,6
tt0013055,Day Dreams,2013-11-15,5
tt0130581,Cosmic Ray,2014-06-30,6
tt0130623,Dinosaur,2014-03-22,6
tt0130709,Fuego en Castilla (Tactilvisión del páramo del espanto),2014-10-20,8
tt0130827,Lola rennt,2015-04-02,7
tt0130860,Rusalka,2016-04-17,7
tt0130871,Devo: Mongoloid,2014-09-17,5
tt0013099,The Electric House,2014-01-09,5
tt0131012,Shi no toge,2014-05-29,7
tt0131125,Vivian,2014-09-17,5
tt0131149,Zorns Lemma,2015-02-09,3
tt1313243,Huangjin zhou,2015-03-10,4
tt0131335,Canoa,2015-06-12,7
tt1314228,Did You Hear About the Morgans?,2014-01-26,2
tt0131461,"The Life and Death of 9413, a Hollywood Extra",2013-10-11,6
tt0013158,The Frozen North,2014-04-19,5
tt1318514,Rise of the Planet of the Apes,2012-10-20,6
tt0132134,"The Execution of Mary, Queen of Scots",2015-11-11,5
tt0013257,Häxan,2018-08-20,7
tt1327628,Whores' Glory,2017-05-18,8
tt0133012,Hotel pro cizince,2014-01-27,7
tt0133093,The Matrix,2012-10-20,8
tt0133152,Planet of the Apes,2014-03-22,6
tt0133385,Astérix & Obélix contre César,2017-02-03,4
tt1337051,"Politist, adjectiv",2016-03-13,7
tt1340800,Tinker Tailor Soldier Spy,2012-10-20,6
tt0013422,My Wife's Relations,2013-11-15,6
tt0013427,Nanook of the North,2018-12-18,7
tt0134273,8MM,2012-10-20,5
tt0134402,Cabra Marcado Para Morrer,2015-06-13,6
tt0013442,"Nosferatu, eine Symphonie des Grauens",2013-06-20,6
tt1345836,The Dark Knight Rises,2012-12-30,5
tt1346973,Independencia,2015-01-05,6
tt0134847,Pitch Black,2012-10-20,6
tt0135179,Les cartes vivantes,2014-07-05,4
tt1352849,Western Spaghetti,2017-03-15,5
tt0135696,Un homme de têtes,2014-01-07,7
tt1363113,Kiri no hata,2015-09-13,7
tt0136497,A Romance of the Rail,2014-06-16,4
tt1369649,La concejala antropófaga,2016-04-15,5
tt1371630,Kûki ningyô,2014-09-08,5
tt0137439,Conte d'automne,2015-11-01,5
tt0137523,Fight Club,2012-10-20,8
tt1375666,Inception,2012-10-20,8
tt1376717,Play,2015-01-16,7
tt1379182,Kynodontas,2015-01-19,9
tt0013858,The Balloonatic,2013-11-22,6
tt0138704,Pi,2012-02-06,9
tt0138758,Rose Hobart,2013-08-19,5
tt1392190,Mad Max: Fury Road,2017-03-15,6
tt1392214,Prisoners,2019-10-30,7
tt0013933,Coeur fidèle,2015-02-01,8
tt0139738,The Kiss,2013-07-11,5
tt0139820,Akai tenshi,2013-10-30,8
tt1399683,Winter's Bone,2012-10-20,6
tt0000014,L'arroseur arrosé,2013-06-09,5
tt1403214,Paradies: Liebe,2013-01-10,8
tt0140384,Môjû,2014-08-28,8
